,mean_length,aa_buffer
IPR000315,42.43956043956044,2
IPR001870,196.36274509803923,5
IPR019082,59.333333333333336,5
IPR048455,668.0,5
IPR007320,102.0,5
IPR017942,193.07142857142858,5
IPR001124,208.2,5
IPR020598,187.33333333333334,5
IPR007582,135.0,5
IPR000261,96.0,5
IPR026590,263.7142857142857,5
IPR006642,28.4,2
IPR003593,154.27868852459017,5
IPR032423,89.0,5
IPR021886,150.0,5
IPR056268,69.0,5
IPR056269,91.0,5
IPR056266,107.5,5
IPR056965,87.0,5
IPR001715,109.37719298245614,5
IPR057057,173.66666666666666,5
IPR056887,88.5,5
IPR012315,58.25,5
IPR000504,77.52392947103274,5
IPR000571,27.251908396946565,2
IPR011500,51.38461538461539,5
IPR017978,266.72727272727275,5
IPR019588,50.0,5
IPR002126,116.77866666666667,5
IPR048528,148.83333333333334,5
IPR048524,30.5,2
IPR053891,49.27272727272727,2
IPR013524,129.0,5
IPR013711,93.33333333333333,5
IPR010560,300.0,5
IPR053896,85.57142857142857,5
IPR027350,287.0,5
IPR001452,61.814332247557005,5
IPR002035,183.952,5
IPR000436,60.16814159292036,5
IPR003410,82.75,5
IPR001759,200.15384615384616,5
IPR027450,143.5,5
IPR002404,105.91666666666667,5
IPR011019,182.33333333333334,5
IPR000299,307.38,5
IPR001478,84.04428044280442,5
IPR022772,114.0,5
IPR007527,37.25,2
IPR057945,196.0,5
IPR048370,172.75,5
IPR039497,237.93548387096774,5
IPR021885,106.2,5
IPR001214,156.1153846153846,5
IPR000159,89.0,5
IPR000253,69.96969696969697,5
IPR002710,272.1666666666667,5
IPR003380,100.57142857142857,5
IPR006598,335.0,5
IPR001111,201.85714285714286,5
IPR029104,153.0625,5
IPR000328,171.33333333333334,5
IPR013079,219.0,5
IPR023569,110.5,5
IPR006083,191.33333333333334,5
IPR000836,148.45454545454547,5
IPR011489,73.625,5
IPR000782,135.04545454545453,5
IPR055438,195.0,5
IPR007036,80.5,5
IPR001190,100.16304347826087,5
IPR000182,157.2,5
IPR006085,98.4,5
IPR006086,86.0,5
IPR032734,224.0,5
IPR047319,212.0,5
IPR002870,82.02941176470588,5
IPR001590,204.825,5
IPR001762,83.04545454545455,5
IPR006586,117.28571428571429,5
IPR032069,104.66666666666667,5
IPR001394,400.9178082191781,5
IPR000198,193.07575757575756,5
IPR002913,201.8,5
IPR056513,45.0,2
IPR012604,44.0,2
IPR012313,34.4,2
IPR048841,300.0,5
IPR028881,381.0,5
IPR006671,113.26470588235294,5
IPR013763,94.0,5
IPR000494,113.21428571428571,5
IPR006211,154.0,5
IPR032778,131.0,5
IPR049328,34.666666666666664,2
IPR039064,50.5,5
IPR000980,97.98319327731092,5
IPR003123,149.7,5
IPR000313,85.2,5
IPR055231,218.33333333333334,5
IPR054573,78.0,5
IPR059073,171.0,5
IPR000241,150.0,5
IPR012981,149.66666666666666,5
IPR041442,83.5,5
IPR023796,360.5,5
IPR001194,187.47058823529412,5
IPR005112,81.3125,5
IPR057977,111.0,5
IPR000262,340.0,5
IPR006703,206.1,5
IPR023340,47.8,2
IPR005225,149.57051282051282,5
IPR031435,62.0,5
IPR055422,123.2,5
IPR055421,147.0,5
IPR031437,97.0,5
IPR055423,136.6,5
IPR055424,114.6,5
IPR031436,79.6,5
IPR001300,348.53333333333336,5
IPR054093,125.0,5
IPR057249,205.0,5
IPR054094,107.0,5
IPR054095,274.0,5
IPR008883,143.0,5
IPR017916,74.0,5
IPR015898,67.44444444444444,5
IPR007889,51.642857142857146,5
IPR006600,72.46153846153847,5
IPR004875,161.66666666666666,5
IPR041573,77.0,5
IPR003108,76.14285714285714,5
IPR005123,108.85714285714286,5
IPR053872,159.0,5
IPR053871,442.0,5
IPR053874,126.0,5
IPR053873,201.0,5
IPR041645,67.0,5
IPR010909,38.22222222222222,2
IPR001164,121.89655172413794,5
IPR003877,185.0,5
IPR000566,133.8421052631579,5
IPR009581,213.33333333333334,5
IPR014800,149.33333333333334,5
IPR014799,285.75,5
IPR018993,72.0,5
IPR031794,127.5,5
IPR008753,392.125,5
IPR018497,210.25,5
IPR003309,108.43333333333334,5
IPR020067,122.79166666666667,5
IPR000539,326.3636363636364,5
IPR029205,73.5,5
IPR040885,150.5,5
IPR003121,80.16666666666667,5
IPR001876,28.522727272727273,2
IPR001163,75.55,5
IPR003604,34.0,2
IPR001064,82.19047619047619,5
IPR000772,127.11538461538461,5
IPR031904,125.86486486486487,5
IPR005612,169.66666666666666,5
IPR008154,164.66666666666666,5
IPR002223,54.074074074074076,5
IPR024329,198.0,5
IPR013803,38.0,2
IPR019543,50.333333333333336,5
IPR040994,57.5,5
IPR012919,157.0,5
IPR000073,180.0,5
IPR002130,156.875,5
IPR048723,67.0,5
IPR041569,39.206896551724135,2
IPR011650,130.2,5
IPR000922,90.33333333333333,5
IPR039500,140.66666666666666,5
IPR005176,188.0,5
IPR019466,46.25,2
IPR000569,363.2857142857143,5
IPR001766,94.3529411764706,5
IPR013057,337.9,5
IPR032549,92.4,5
IPR041577,97.0,5
IPR046879,147.5,5
IPR042052,380.0,5
IPR046937,41.25,2
IPR008145,181.6,5
IPR001251,160.4814814814815,5
IPR056466,77.0,5
IPR000219,185.70833333333334,5
IPR006052,141.5,5
IPR019010,133.0,5
IPR000717,181.5,5
IPR055414,97.11111111111111,5
IPR041859,119.0,5
IPR041858,101.0,5
IPR041860,119.0,5
IPR043838,184.5,5
IPR001879,83.22222222222223,5
IPR032471,116.5,5
IPR057244,162.91176470588235,5
IPR017981,252.58333333333334,5
IPR039551,578.4285714285714,5
IPR011546,90.5,5
IPR000642,179.33333333333334,5
IPR000483,50.52,5
IPR048739,119.0,5
IPR034085,237.23529411764707,5
IPR048738,110.0,5
IPR000270,82.35714285714286,5
IPR002073,343.1904761904762,5
IPR011987,115.0,5
IPR000095,44.94444444444444,2
IPR023412,117.86666666666666,5
IPR045818,314.0,5
IPR041470,304.4,5
IPR040457,319.2,5
IPR013810,64.5,5
IPR005324,70.0,5
IPR021151,89.25,5
IPR056783,51.0,5
IPR028097,223.33333333333334,5
IPR013099,67.88888888888889,5
IPR029903,292.0,5
IPR003890,208.0,5
IPR003113,95.75,5
IPR000341,105.28571428571429,5
IPR002420,168.71428571428572,5
IPR001263,197.6,5
IPR000403,311.10526315789474,5
IPR013649,151.625,5
IPR048285,144.77777777777777,5
IPR043976,131.625,5
IPR040778,54.666666666666664,5
IPR027795,64.8,5
IPR049479,82.5,5
IPR059105,85.875,5
IPR001752,354.68888888888887,5
IPR032405,124.83333333333333,5
IPR022140,43.6,2
IPR022164,104.57142857142857,5
IPR001368,38.72463768115942,2
IPR006202,198.7173913043478,5
IPR006029,179.28571428571428,5
IPR000953,63.095238095238095,5
IPR003653,223.85714285714286,5
IPR023410,240.57142857142858,5
IPR041336,293.0,5
IPR001098,388.3333333333333,5
IPR056795,34.0,2
IPR021072,91.625,5
IPR002190,196.66666666666666,5
IPR000679,52.80952380952381,5
IPR031320,110.17857142857143,5
IPR006011,152.4,5
IPR000727,75.87096774193549,5
IPR006821,83.42857142857143,5
IPR039008,314.5810810810811,5
IPR016179,107.3,5
IPR057073,41.285714285714285,2
IPR013111,30.5,2
IPR001875,80.6,5
IPR013151,73.0,5
IPR007604,241.16666666666666,5
IPR037599,66.0,5
IPR057520,76.5,5
IPR008144,155.5,5
IPR035998,100.0,5
IPR003595,145.8,5
IPR001079,131.77272727272728,5
IPR004020,87.875,5
IPR007111,219.625,5
IPR041075,53.583333333333336,5
IPR041267,121.23529411764706,5
IPR049317,141.0,5
IPR049318,101.0,5
IPR004021,199.2,5
IPR006782,72.5,5
IPR000072,98.55555555555556,5
IPR016071,124.0,5
IPR002999,90.96666666666667,5
IPR013092,212.86363636363637,5
IPR001487,106.74137931034483,5
IPR007803,144.66666666666666,5
IPR022082,96.66666666666667,5
IPR020575,36.0,2
IPR019542,144.0,5
IPR009607,241.5,5
IPR028030,108.66666666666667,5
IPR009771,158.0,5
IPR001810,47.52238805970149,2
IPR001623,71.91836734693878,5
IPR002939,164.4,5
IPR006571,169.28571428571428,5
IPR011645,142.66666666666666,5
IPR025933,29.12,2
IPR019464,221.66666666666666,5
IPR010844,109.83333333333333,5
IPR007529,32.833333333333336,2
IPR057721,146.0,5
IPR006911,213.63636363636363,5
IPR001030,356.25,5
IPR000573,126.33333333333333,5
IPR002867,65.81818181818181,5
IPR015353,126.66666666666667,5
IPR000488,87.94285714285714,5
IPR000157,152.92307692307693,5
IPR006020,150.28571428571428,5
IPR055093,148.5,5
IPR041418,60.0,5
IPR020828,148.0,5
IPR020829,157.0,5
IPR001926,294.0,5
IPR001604,224.33333333333334,5
IPR001003,80.66666666666667,5
IPR057400,59.0,5
IPR056274,90.0,5
IPR020846,425.2674418604651,5
IPR005645,212.0,5
IPR019402,216.33333333333334,5
IPR032070,62.5,5
IPR002083,143.33333333333334,5
IPR002014,140.11111111111111,5
IPR004152,108.16666666666667,5
IPR008152,117.11111111111111,5
IPR037862,131.0,5
IPR046969,150.0,5
IPR000909,151.33333333333334,5
IPR001711,115.73333333333333,5
IPR014815,264.25,5
IPR032444,97.32,5
IPR054134,105.0,5
IPR018484,241.28571428571428,5
IPR002100,60.0,5
IPR003323,149.46666666666667,5
IPR002653,32.76923076923077,2
IPR017920,70.3,5
IPR003395,967.0,5
IPR029273,79.16666666666667,5
IPR005018,115.4,5
IPR000323,120.25,5
IPR024548,148.5,5
IPR040598,82.0,5
IPR002478,76.2,5
IPR009071,70.08695652173913,5
IPR001667,152.0,5
IPR004097,144.0,5
IPR001357,89.91111111111111,5
IPR002054,333.75,5
IPR022207,141.0,5
IPR018955,160.2,5
IPR003594,134.07692307692307,5
IPR033699,113.0,5
IPR033698,114.0,5
IPR000959,80.25,5
IPR006715,343.0,5
IPR000418,85.93103448275862,5
IPR024675,117.0,5
IPR003175,48.333333333333336,2
IPR002938,101.33333333333333,5
IPR057494,129.0,5
IPR001781,60.037267080745345,5
IPR022735,150.0,5
IPR056177,124.0,5
IPR056178,122.0,5
IPR042371,67.0,5
IPR045807,107.0,5
IPR045806,137.0,5
IPR001254,230.664,5
IPR000082,120.36585365853658,5
IPR006561,362.6,5
IPR046903,177.4,5
IPR046906,80.45454545454545,5
IPR024041,377.4,5
IPR004087,72.58241758241758,5
IPR013154,105.375,5
IPR001670,172.0,5
IPR056798,190.0,5
IPR010473,204.22222222222223,5
IPR010472,210.77777777777777,5
IPR015425,469.6923076923077,5
IPR014767,31.857142857142858,2
IPR000747,17.0,2
IPR020479,15.0,2
IPR001202,33.354838709677416,2
IPR022035,175.0,5
IPR018972,72.0,5
IPR006809,89.07142857142857,5
IPR005818,81.8,5
IPR028055,202.5,5
IPR004045,81.34782608695652,5
IPR004046,81.72727272727273,5
IPR000519,49.357142857142854,2
IPR025887,168.42857142857142,5
IPR000322,319.9166666666667,5
IPR048395,87.72727272727273,5
IPR012682,160.66666666666666,5
IPR011598,58.99122807017544,5
IPR001627,476.51612903225805,5
IPR016201,50.76470588235294,5
IPR056994,60.0,5
IPR009349,45.0,2
IPR056993,53.0,5
IPR007374,110.0,5
IPR016054,81.42105263157895,5
IPR023339,53.0,5
IPR034353,103.0,5
IPR015042,45.333333333333336,2
IPR004843,208.78571428571428,5
IPR000467,47.08571428571429,2
IPR006575,111.36363636363636,5
IPR002483,82.0,5
IPR000608,148.55,5
IPR048287,183.94444444444446,5
IPR000885,223.54545454545453,5
IPR000866,132.8,5
IPR019479,34.0,2
IPR008011,55.666666666666664,5
IPR000007,218.2,5
IPR000232,109.0,5
IPR025259,179.0,5
IPR000327,76.8125,5
IPR040445,140.8125,5
IPR041647,169.25,5
IPR000242,261.22,5
IPR019515,219.5,5
IPR012501,129.0,5
IPR002818,166.0,5
IPR056282,185.5,5
IPR055408,424.8333333333333,5
IPR048465,212.75,5
IPR055406,255.57142857142858,5
IPR001025,141.07692307692307,5
IPR000949,96.6923076923077,5
IPR001005,55.09722222222222,5
IPR035170,76.33333333333333,5
IPR002018,514.6666666666666,5
IPR058766,53.0,5
IPR013923,190.0,5
IPR031775,99.66666666666667,5
IPR046810,119.0,5
IPR011259,75.25,5
IPR032455,84.90243902439025,5
IPR046755,121.5,5
IPR046756,35.0,2
IPR010625,33.0,2
IPR001853,203.0,5
IPR004827,62.333333333333336,5
IPR015134,34.0,2
IPR024448,180.0,5
IPR006692,249.5,5
IPR056176,168.0,5
IPR003886,195.2,5
IPR032629,174.5,5
IPR032691,159.5,5
IPR000904,191.25,5
IPR015403,75.75,5
IPR046455,173.66666666666666,5
IPR003008,240.91666666666666,5
IPR018316,140.8181818181818,5
IPR001322,117.2,5
IPR058914,105.0,5
IPR022682,134.35714285714286,5
IPR046859,123.0,5
IPR006711,182.5,5
IPR012336,98.5,5
IPR041185,273.5,5
IPR022007,37.0,2
IPR001516,50.0,5
IPR001750,277.0,5
IPR010934,180.0,5
IPR021935,166.5,5
IPR000195,225.27777777777777,5
IPR058533,230.1,5
IPR027470,73.5,5
IPR044069,42.0,2
IPR041491,258.25,5
IPR057366,195.8,5
IPR005821,248.125,5
IPR032415,55.0,5
IPR004166,226.16666666666666,5
IPR000731,142.69230769230768,5
IPR003131,81.66666666666667,5
IPR056921,85.0,5
IPR001537,162.0,5
IPR007148,102.66666666666667,5
IPR046364,364.0,5
IPR033133,351.6666666666667,5
IPR012959,139.0,5
IPR013694,131.4,5
IPR013170,46.333333333333336,2
IPR024945,127.5,5
IPR000834,336.76,5
IPR012466,156.0,5
IPR002181,181.75,5
IPR013217,100.25,5
IPR057248,98.5,5
IPR030379,272.3076923076923,5
IPR001936,339.2,5
IPR018392,44.666666666666664,2
IPR041510,248.0,5
IPR028928,170.0,5
IPR056290,108.75,5
IPR056288,127.33333333333333,5
IPR000372,33.52307692307692,2
IPR025986,90.66666666666667,5
IPR053936,178.0,5
IPR047843,261.5,5
IPR011074,33.083333333333336,2
IPR009038,159.44444444444446,5
IPR012848,24.714285714285715,2
IPR033121,321.8,5
IPR004850,126.0,5
IPR003645,22.785714285714285,2
IPR002350,54.493506493506494,5
IPR001791,178.23728813559322,5
IPR010569,443.8333333333333,5
IPR001041,91.83333333333333,5
IPR017896,37.6,2
IPR053879,94.4,5
IPR033768,198.0,5
IPR041010,25.0,2
IPR014898,27.0,2
IPR058719,72.0,5
IPR006076,360.75,5
IPR004841,320.61538461538464,5
IPR018491,189.64285714285714,5
IPR001747,628.5,5
IPR015255,313.0,5
IPR009454,111.0,5
IPR022176,55.0,5
IPR031912,111.0,5
IPR057468,41.0,2
IPR000089,74.81818181818181,5
IPR004167,37.333333333333336,2
IPR001078,228.0,5
IPR011106,91.8,5
IPR029344,69.0,5
IPR011128,167.0,5
IPR006109,145.5,5
IPR024462,304.0,5
IPR006775,365.0,5
IPR029479,169.0,5
IPR002004,77.0,5
IPR003034,34.47826086956522,2
IPR009269,97.5,5
IPR004853,269.0,5
IPR049630,42.0,2
IPR003124,23.458333333333332,2
IPR056582,514.0,5
IPR056583,391.0,5
IPR057873,137.0,5
IPR003959,116.0,5
IPR004147,240.0,5
IPR057855,323.0,5
IPR039468,274.0,5
IPR056168,343.0,5
IPR056170,43.5,2
IPR004367,121.76470588235294,5
IPR007379,148.5,5
IPR007052,91.58823529411765,5
IPR046371,100.1,5
IPR041670,41.0,2
IPR007235,119.0,5
IPR008253,151.74193548387098,5
IPR007667,89.6,5
IPR020859,238.0,5
IPR013602,407.8666666666667,5
IPR041466,119.93333333333334,5
IPR041589,89.5,5
IPR024743,325.06666666666666,5
IPR035706,202.2,5
IPR004273,114.46666666666667,5
IPR041658,139.42857142857142,5
IPR041228,308.125,5
IPR012502,543.0,5
IPR000463,19.28,2
IPR022575,122.75,5
IPR057950,126.5,5
IPR000306,70.33333333333333,5
IPR057860,244.0,5
IPR012978,273.0,5
IPR015248,73.5,5
IPR004192,65.0,5
IPR005805,11.666666666666666,2
IPR058981,159.0,5
IPR001881,42.57142857142857,2
IPR055088,99.0,5
IPR000555,134.16666666666666,5
IPR056263,79.0,5
IPR031330,313.25,5
IPR048912,105.5,5
IPR048913,59.0,5
IPR019486,124.33333333333333,5
IPR032226,283.6666666666667,5
IPR034924,91.0,5
IPR055347,82.0,5
IPR056907,270.0,5
IPR029400,181.0,5
IPR029425,705.0,5
IPR029424,375.0,5
IPR057038,29.0,2
IPR006757,204.0,5
IPR004009,50.1578947368421,5
IPR001609,712.3076923076923,5
IPR002928,909.3157894736842,5
IPR001846,185.98305084745763,5
IPR014853,73.0925925925926,5
IPR002919,54.15151515151515,5
IPR001007,63.53191489361702,5
IPR058753,55.142857142857146,5
IPR025155,87.0,5
IPR006207,84.23809523809524,5
IPR044064,48.0,2
IPR029197,201.66666666666666,5
IPR056807,26.75,2
IPR032498,168.0,5
IPR004274,164.75,5
IPR014847,45.76923076923077,2
IPR013594,440.27272727272725,5
IPR003439,232.9,5
IPR013525,273.25925925925924,5
IPR007051,60.25,5
IPR001305,79.4,5
IPR010504,233.6,5
IPR006723,225.0,5
IPR022247,41.75,2
IPR023341,152.8,5
IPR005113,94.6,5
IPR007848,89.0,5
IPR055135,158.88888888888889,5
IPR019316,126.33333333333333,5
IPR039473,164.5,5
IPR055401,175.6,5
IPR055400,182.5,5
IPR039477,86.33333333333333,5
IPR025605,73.53846153846153,5
IPR040504,97.0,5
IPR040450,64.0,5
IPR000156,134.55,5
IPR057326,194.8,5
IPR014720,67.36585365853658,5
IPR046360,192.76470588235293,5
IPR032385,241.5,5
IPR035587,261.0,5
IPR001799,135.875,5
IPR011722,116.5,5
IPR007474,127.5,5
IPR001628,75.19565217391305,5
IPR000536,238.9375,5
IPR055355,86.5,5
IPR022778,167.0,5
IPR000387,59.470588235294116,5
IPR002477,55.666666666666664,5
IPR001818,146.44,5
IPR000585,198.95833333333334,5
IPR000421,149.43333333333334,5
IPR028124,72.66666666666667,5
IPR007275,134.0,5
IPR006862,125.2,5
IPR014940,206.8,5
IPR011607,148.0,5
IPR025714,143.125,5
IPR054109,44.166666666666664,2
IPR006577,131.0,5
IPR001012,80.84615384615384,5
IPR019180,31.0,2
IPR057323,88.0,5
IPR015940,42.38297872340426,2
IPR007872,55.666666666666664,5
IPR002937,364.0,5
IPR021859,103.0,5
IPR053813,327.0,5
IPR055451,119.0,5
IPR053814,207.0,5
IPR057351,157.5,5
IPR007282,124.5,5
IPR004172,65.66666666666667,5
IPR000998,162.97297297297297,5
IPR003887,43.625,2
IPR018996,222.0,5
IPR034394,91.0,5
IPR045801,1218.0,5
IPR007708,145.0,5
IPR048414,17.0,2
IPR004148,234.9655172413793,5
IPR007759,74.66666666666667,5
IPR028020,122.0,5
IPR026905,46.0,2
IPR003347,168.63636363636363,5
IPR009851,161.0,5
IPR005804,241.5,5
IPR022644,233.5,5
IPR003609,85.16666666666667,5
IPR029332,130.33333333333334,5
IPR006581,611.6,5
IPR000601,76.84,5
IPR022761,278.3333333333333,5
IPR019468,84.0,5
IPR013724,30.0,2
IPR032352,64.0,5
IPR022018,112.0,5
IPR000626,75.84931506849315,5
IPR006630,90.71428571428571,5
IPR034880,108.0,5
IPR024642,42.0,2
IPR000687,235.66666666666666,5
IPR000192,374.0,5
IPR004170,80.17647058823529,5
IPR001606,92.33333333333333,5
IPR023334,93.33333333333333,5
IPR019590,83.75,5
IPR019583,67.25,5
IPR056963,81.0,5
IPR056961,73.0,5
IPR011760,216.5,5
IPR013085,35.0,2
IPR003607,136.33333333333334,5
IPR022145,155.0,5
IPR053966,334.0,5
IPR053964,157.0,5
IPR053965,101.0,5
IPR032501,54.4,5
IPR006155,178.5,5
IPR025283,181.0,5
IPR023801,299.5,5
IPR001607,106.92857142857143,5
IPR013818,319.0,5
IPR040637,69.0,5
IPR001180,302.6666666666667,5
IPR016180,117.66666666666667,5
IPR045814,147.0,5
IPR046471,107.0,5
IPR019025,91.0,5
IPR003316,72.76923076923077,5
IPR032198,101.0,5
IPR032781,75.5,5
IPR006634,204.625,5
IPR056240,80.0,5
IPR041861,115.0,5
IPR055285,302.75,5
IPR047822,77.0,5
IPR001104,143.8,5
IPR000233,57.77272727272727,5
IPR013136,106.0,5
IPR018501,63.8,5
IPR028942,41.5,2
IPR028941,144.0,5
IPR027833,131.5,5
IPR026116,573.5,5
IPR029341,126.0,5
IPR057946,122.0,5
IPR007652,125.0,5
IPR013162,86.0,5
IPR013786,110.81818181818181,5
IPR006091,99.64285714285714,5
IPR009075,146.8181818181818,5
IPR013854,193.8,5
IPR031450,107.66666666666667,5
IPR007421,120.85714285714286,5
IPR048729,136.0,5
IPR003137,82.57894736842105,5
IPR007484,184.08333333333334,5
IPR001199,82.13333333333334,5
IPR006694,131.16666666666666,5
IPR021816,108.66666666666667,5
IPR027007,188.0909090909091,5
IPR027357,431.55555555555554,5
IPR059005,65.0,5
IPR024574,158.0,5
IPR006816,183.0,5
IPR055189,135.0,5
IPR057465,107.0,5
IPR045363,224.5,5
IPR019523,150.0,5
IPR007084,95.5,5
IPR033388,255.0,5
IPR006554,374.8333333333333,5
IPR006555,180.33333333333334,5
IPR002931,95.54545454545455,5
IPR056564,112.5,5
IPR046791,174.16666666666666,5
IPR013122,190.36363636363637,5
IPR015076,49.0,2
IPR023416,122.0,5
IPR040849,32.5,2
IPR001275,53.0,5
IPR031847,72.0,5
IPR007109,203.8,5
IPR000906,146.33333333333334,5
IPR040745,128.66666666666666,5
IPR007934,95.5,5
IPR058755,66.5,5
IPR001594,130.7391304347826,5
IPR004739,185.0,5
IPR001674,463.0,5
IPR001632,15.538461538461538,2
IPR000738,61.142857142857146,5
IPR006195,355.5,5
IPR004154,89.0,5
IPR040659,89.0,5
IPR005146,169.0,5
IPR005147,77.0,5
IPR041616,211.0,5
IPR024309,644.5,5
IPR000917,345.11764705882354,5
IPR024609,113.33333333333333,5
IPR006612,90.33333333333333,5
IPR013706,60.0,5
IPR000477,203.33333333333334,5
IPR010661,64.44444444444444,5
IPR002156,132.72727272727272,5
IPR003308,41.888888888888886,2
IPR001584,158.46153846153845,5
IPR001037,48.0,2
IPR057480,201.5,5
IPR057367,111.0,5
IPR010630,115.6108108108108,5
IPR031542,218.0,5
IPR045852,350.0,5
IPR046460,1087.0,5
IPR028193,144.25,5
IPR054602,82.0,5
IPR003114,175.25,5
IPR013937,106.0,5
IPR012966,151.33333333333334,5
IPR006565,77.33333333333333,5
IPR021789,80.0,5
IPR007053,118.375,5
IPR040447,68.0,5
IPR034890,100.0,5
IPR024326,110.0,5
IPR021126,108.0,5
IPR040566,93.0,5
IPR015321,95.5,5
IPR006115,160.66666666666666,5
IPR006114,290.0,5
IPR005173,35.666666666666664,2
IPR004217,61.166666666666664,5
IPR054708,119.75,5
IPR002058,53.333333333333336,5
IPR013606,247.0,5
IPR012886,127.0,5
IPR003953,394.0,5
IPR015939,151.0,5
IPR058754,29.0,2
IPR058030,129.5,5
IPR001060,91.1304347826087,5
IPR047854,60.8,5
IPR013725,153.0,5
IPR018647,113.5,5
IPR001346,113.33333333333333,5
IPR019471,177.42857142857142,5
IPR002068,103.4,5
IPR001156,338.0,5
IPR013094,112.84615384615384,5
IPR032399,84.0,5
IPR011539,182.9,5
IPR002909,91.65384615384616,5
IPR032400,176.0,5
IPR014878,153.0,5
IPR007854,42.0,2
IPR013194,116.0,5
IPR031693,300.0,5
IPR016090,108.76923076923077,5
IPR024324,163.0,5
IPR032682,164.0,5
IPR005000,228.0,5
IPR015590,433.7368421052632,5
IPR032387,56.75,5
IPR000873,373.8484848484849,5
IPR025110,81.05,5
IPR007477,46.25,2
IPR008379,99.25,5
IPR023611,127.0,5
IPR007125,81.44680851063829,5
IPR032454,33.294117647058826,2
IPR044866,31.0,2
IPR001387,43.5,2
IPR003169,57.333333333333336,5
IPR058191,53.0,5
IPR001496,47.86842105263158,2
IPR006560,52.0,5
IPR003616,16.0,2
IPR001965,48.68840579710145,2
IPR040467,151.0,5
IPR006683,70.45454545454545,5
IPR039478,206.5,5
IPR023184,63.0,5
IPR022158,104.66666666666667,5
IPR031938,46.0,2
IPR045789,452.0,5
IPR031624,119.07142857142857,5
IPR010750,141.0,5
IPR000697,111.81818181818181,5
IPR040801,121.0,5
IPR048392,64.5,5
IPR025696,204.5,5
IPR012961,176.5,5
IPR001523,126.77777777777777,5
IPR022130,108.33333333333333,5
IPR003334,261.75,5
IPR017932,241.8,5
IPR022742,108.25,5
IPR002579,123.0,5
IPR024983,322.0,5
IPR058900,115.0,5
IPR019381,915.5,5
IPR029489,540.0,5
IPR040700,105.5,5
IPR006116,146.0,5
IPR018952,182.57142857142858,5
IPR002934,76.0,5
IPR057126,105.33333333333333,5
IPR057568,98.0,5
IPR003617,73.125,5
IPR055410,211.0,5
IPR011494,198.0,5
IPR024678,60.833333333333336,5
IPR056865,72.5,5
IPR054559,215.0,5
IPR040896,31.0,2
IPR026966,86.5,5
IPR003585,18.0,2
IPR013821,173.2,5
IPR022672,196.11111111111111,5
IPR022673,233.33333333333334,5
IPR002890,90.55555555555556,5
IPR041555,79.2,5
IPR040839,88.77777777777777,5
