,0
A0PJE2,AF-A0PJE2-F1-model_v4_TED01:3.40.50.720:4:317
A0PJK1,AF-A0PJK1-F1-model_v4_TED01:1.20.1730.10:58:596
A0PJW6,AF-A0PJW6-F1-model_v4_TED01:-:35:195
A0PJW8,
A0PJX4,AF-A0PJX4-F1-model_v4_TED01:-:25:91;AF-A0PJX4-F1-model_v4_TED02:1.20.5:94:125
A0PJX8,AF-A0PJX8-F1-model_v4_TED01:-:26:315
A0PJZ0,AF-A0PJZ0-F1-model_v4_TED01:1.25.40.20:31:164
A0PJZ3,AF-A0PJZ3-F1-model_v4_TED01:3.90.550.10:107:332;AF-A0PJZ3-F1-model_v4_TED02:-:343:436
A0PK00,AF-A0PK00-F1-model_v4_TED02:-:120:337;AF-A0PK00-F1-model_v4_TED01:1.10.287:9:98
A0PK05,
A0PK11,AF-A0PK11-F1-model_v4_TED01:1.20.140.150:5:210
A0ZSE6,
A1A4F0,AF-A1A4F0-F1-model_v4_TED01:1.20.58:45:124
A1A4G5,
A1A4V9,AF-A1A4V9-F1-model_v4_TED01:-:85:217
A1A4Y4,AF-A1A4Y4-F1-model_v4_TED02:3.40.50.300:34:177;AF-A1A4Y4-F1-model_v4_TED01:1.10.1200:2:33
A1A519,AF-A1A519-F1-model_v4_TED01:-:123:275
A1A580,
A1A5C7,AF-A1A5C7-F1-model_v4_TED01:1.20.1250.20:74:416;AF-A1A5C7-F1-model_v4_TED02:1.20.1250.20:417:640
A1A5D9,
A1E959,
A1KXE4,
A1L0T0,AF-A1L0T0-F1-model_v4_TED01:3.40.50.970:55:250;AF-A1L0T0-F1-model_v4_TED02:3.40.50.1220:271:422;AF-A1L0T0-F1-model_v4_TED03:3.40.50.970:440:620
A1L157,AF-A1L157-F1-model_v4_TED01:-:2:253;AF-A1L157-F1-model_v4_TED02:-:121:210
A1L162,AF-A1L162-F1-model_v4_TED01:-:68:121
A1L168,
A1L170,
A1L188,AF-A1L188-F1-model_v4_TED01:-:2:67
A1L190,AF-A1L190-F1-model_v4_TED01:1.20.5:2:52;AF-A1L190-F1-model_v4_TED02:1.20.5:54:88
A1L3X0,AF-A1L3X0-F1-model_v4_TED01:-:32:263
A1L3X4,
A1L4L8,AF-A1L4L8-F1-model_v4_TED01:-:84:169
A1L4Q6,
A1XBS5,AF-A1XBS5-F1-model_v4_TED01:1.20.1270.60:2:216
A2A2V5,
A2A3L6,AF-A2A3L6-F1-model_v4_TED01:1.25.40.10:271:409
A2AJT9,
A2IDD5,
A2JGV3,
A2RRH5,AF-A2RRH5-F1-model_v4_TED01:2.130.10.10:20:396;AF-A2RRH5-F1-model_v4_TED02:2.130.10.10:501:827
A2RRL7,AF-A2RRL7-F1-model_v4_TED01:1.20.5:56:98
A2RRP1,AF-A2RRP1-F1-model_v4_TED01:-:588:722;AF-A2RRP1-F1-model_v4_TED02:-:724:877;AF-A2RRP1-F1-model_v4_TED03:-:1568:1654;AF-A2RRP1-F1-model_v4_TED04:-:1977:2079;AF-A2RRP1-F1-model_v4_TED05:-:2279:2371
A2RTY3,AF-A2RTY3-F1-model_v4_TED01:1.25.10.10:56:211
A2RU14,AF-A2RU14-F1-model_v4_TED01:1.10.287:1:60;AF-A2RU14-F1-model_v4_TED02:1.20.5:75:106
A2RU37,
A2RU48,AF-A2RU48-F1-model_v4_TED01:-:15:223
A2RU67,AF-A2RU67-F1-model_v4_TED01:-:138:223;AF-A2RU67-F1-model_v4_TED02:-:249:424;AF-A2RU67-F1-model_v4_TED03:2.40.128:430:622
A2RUB1,AF-A2RUB1-F1-model_v4_TED01:1.20.120:751:910
A2RUB6,AF-A2RUB6-F1-model_v4_TED01:1.20.5:327:364;AF-A2RUB6-F1-model_v4_TED02:1.20.5:451:535
A2RUQ5,
A2RUT3,
A2RUU4,
A2VDF0,AF-A2VDF0-F1-model_v4_TED01:3.40.1650.10:14:146
A3KN83,AF-A3KN83-F1-model_v4_TED01:3.40.50.10810:243:537;AF-A3KN83-F1-model_v4_TED02:3.40.50.300:543:1036;AF-A3KN83-F1-model_v4_TED03:-:1041:1140;AF-A3KN83-F1-model_v4_TED04:-:1146:1385;AF-A3KN83-F1-model_v4_TED05:-:1186:1300
A3QJZ6,AF-A3QJZ6-F1-model_v4_TED01:-:12:119
A3QJZ7,AF-A3QJZ7-F1-model_v4_TED01:-:12:103;AF-A3QJZ7-F1-model_v4_TED02:3.80.10.10:326:478
A4D0T7,AF-A4D0T7-F1-model_v4_TED01:1.10.287:27:59
A4D0Y5,
A4D126,AF-A4D126-F1-model_v4_TED01:3.90.550.10:48:277;AF-A4D126-F1-model_v4_TED02:3.40.50.360:283:451
A4D161,
A4D1B5,AF-A4D1B5-F1-model_v4_TED02:-:545:726;AF-A4D1B5-F1-model_v4_TED03:-:769:854;AF-A4D1B5-F1-model_v4_TED01:2.40.128:46:206
A4D1N5,
A4D1U4,AF-A4D1U4-F1-model_v4_TED02:3.40.50.11500:231:402;AF-A4D1U4-F1-model_v4_TED01:3.30.450:78:194
A4D250,
A4D263,
A4D2B8,AF-A4D2B8-F1-model_v4_TED01:3.30.565.10:220:431
A4D2H0,
A4FU28,
A4QMS7,AF-A4QMS7-F1-model_v4_TED01:-:39:111
A4QN01,
A4QPB2,AF-A4QPB2-F1-model_v4_TED01:2.120.10.30:5:201
A5D6W6,AF-A5D6W6-F1-model_v4_TED01:-:51:270
A5D8V6,AF-A5D8V6-F1-model_v4_TED01:1.20.5:10:88;AF-A5D8V6-F1-model_v4_TED02:1.10.287:97:159
A5D8V7,AF-A5D8V7-F1-model_v4_TED01:1.20.5:211:324
A5D8W1,AF-A5D8W1-F1-model_v4_TED01:1.25.10.10:438:664;AF-A5D8W1-F1-model_v4_TED02:-:673:821
A5LHX3,AF-A5LHX3-F1-model_v4_TED01:3.60.20.10:53:252
A5PL33,
A5PLL1,AF-A5PLL1-F1-model_v4_TED01:1.25.40.20:14:170
A5PLL7,AF-A5PLL7-F1-model_v4_TED01:-:26:258
A5PLN7,AF-A5PLN7-F1-model_v4_TED01:1.10.1390:273:323;AF-A5PLN7-F1-model_v4_TED02:1.20.5:447:488
A5PLN9,AF-A5PLN9-F1-model_v4_TED01:2.60.40.10:11:168;AF-A5PLN9-F1-model_v4_TED02:2.60.40.1230:171:296;AF-A5PLN9-F1-model_v4_TED03:2.60.40.10:305:408
A5YKK6,AF-A5YKK6-F1-model_v4_TED01:-:6:229;AF-A5YKK6-F1-model_v4_TED04:1.25.40.840:866:998;AF-A5YKK6-F1-model_v4_TED05:1.25.40.180:1129:1311;AF-A5YKK6-F1-model_v4_TED06:-:1368:1578;AF-A5YKK6-F1-model_v4_TED07:-:1610:1738;AF-A5YKK6-F1-model_v4_TED08:1.25.40.790:1851:2033;AF-A5YKK6-F1-model_v4_TED09:1.25.40.800:2149:2336;AF-A5YKK6-F1-model_v4_TED02:1.25.40:251:511;AF-A5YKK6-F1-model_v4_TED03:1.25.40:538:681
A6H8Z2,AF-A6H8Z2-F1-model_v4_TED01:-:212:387
A6NC05,
A6NC42,AF-A6NC42-F1-model_v4_TED01:3.30.1370.10:17:108
A6NC51,AF-A6NC51-F1-model_v4_TED01:1.25.40:5:204
A6NC62,
A6NC97,"AF-A6NC97-F1-model_v4_TED01:-:2:74;AF-A6NC97-F1-model_v4_TED02:3.40.50,3.40.50:78:347"
A6NC98,AF-A6NC98-F1-model_v4_TED01:1.10.418.10:9:190
A6NCE7,AF-A6NCE7-F1-model_v4_TED01:3.10.20.90:8:125
A6NCI5,
A6NCI8,AF-A6NCI8-F1-model_v4_TED01:1.20.5:889:922
A6NCJ1,
A6NCL1,AF-A6NCL1-F1-model_v4_TED02:-:293:334;AF-A6NCL1-F1-model_v4_TED01:1.20.5:74:133
A6NCL2,AF-A6NCL2-F1-model_v4_TED01:-:34:76;AF-A6NCL2-F1-model_v4_TED02:-:82:114;AF-A6NCL2-F1-model_v4_TED03:-:118:154
A6NCL7,
A6NCM1,AF-A6NCM1-F1-model_v4_TED01:-:4:121;AF-A6NCM1-F1-model_v4_TED02:-:242:460;AF-A6NCM1-F1-model_v4_TED03:3.40.50.300:488:694;AF-A6NCM1-F1-model_v4_TED04:1.10.8.60:700:774;AF-A6NCM1-F1-model_v4_TED05:1.20.5:780:818
A6NCN8,AF-A6NCN8-F1-model_v4_TED01:1.10.287:151:191
A6NCS6,AF-A6NCS6-F1-model_v4_TED01:3.40.50:20:209
A6ND36,AF-A6ND36-F1-model_v4_TED01:-:4:70;AF-A6ND36-F1-model_v4_TED02:3.30.870.10:147:310
A6ND91,AF-A6ND91-F1-model_v4_TED01:3.40.50.720:8:283;AF-A6ND91-F1-model_v4_TED02:3.30.360.10:132:256
A6NDB9,AF-A6NDB9-F1-model_v4_TED01:1.20.5:2:101
A6NDD5,AF-A6NDD5-F1-model_v4_TED01:1.20.5:200:238
A6NDG6,AF-A6NDG6-F1-model_v4_TED01:3.40.50.1000:15:321;AF-A6NDG6-F1-model_v4_TED02:3.40.50.1000:103:233
A6NDL7,AF-A6NDL7-F1-model_v4_TED01:3.40.50.150:43:266
A6NDU8,AF-A6NDU8-F1-model_v4_TED01:1.20.1440:1:121;AF-A6NDU8-F1-model_v4_TED02:1.20.1050:150:294
A6NDX4,
A6NE01,
A6NE52,AF-A6NE52-F1-model_v4_TED01:2.40.10.480:426:517;AF-A6NE52-F1-model_v4_TED02:-:1176:1280;AF-A6NE52-F1-model_v4_TED03:-:1285:1500
A6NED2,AF-A6NED2-F1-model_v4_TED01:-:37:153;AF-A6NED2-F1-model_v4_TED02:2.130.10.30:158:376
A6NEH6,AF-A6NEH6-F1-model_v4_TED01:-:104:219
A6NEH8,
A6NEK1,AF-A6NEK1-F1-model_v4_TED01:2.60.40.640:19:156;AF-A6NEK1-F1-model_v4_TED02:2.60.40.640:171:322
A6NEL2,AF-A6NEL2-F1-model_v4_TED01:1.10.10:8:81;AF-A6NEL2-F1-model_v4_TED02:1.25.40.20:596:724
A6NEL3,
A6NEN9,AF-A6NEN9-F1-model_v4_TED01:3.10.20:3:133
A6NEQ2,
A6NEV1,AF-A6NEV1-F1-model_v4_TED01:-:59:138
A6NEY8,AF-A6NEY8-F1-model_v4_TED01:3.90.960.10:2:167
A6NF01,
A6NF36,AF-A6NF36-F1-model_v4_TED01:1.20.5:45:145
A6NF83,
A6NFA1,AF-A6NFA1-F1-model_v4_TED01:-:37:352
A6NFC5,AF-A6NFC5-F1-model_v4_TED01:1.20.140.150:2:205
A6NFE2,
A6NFF2,AF-A6NFF2-F1-model_v4_TED01:1.20.5:37:106
A6NFK2,AF-A6NFK2-F1-model_v4_TED02:-:202:248
A6NFQ2,AF-A6NFQ2-F1-model_v4_TED01:-:6:189;AF-A6NFQ2-F1-model_v4_TED02:-:214:406;AF-A6NFQ2-F1-model_v4_TED03:-:419:504;AF-A6NFQ2-F1-model_v4_TED04:3.40.390.80:639:764;AF-A6NFQ2-F1-model_v4_TED05:1.10.390.30:768:918
A6NFR6,
A6NFT4,AF-A6NFT4-F1-model_v4_TED01:1.20.5:37:154
A6NFU8,AF-A6NFU8-F1-model_v4_TED01:3.40.630.20:5:176
A6NFX1,AF-A6NFX1-F1-model_v4_TED01:1.20.1250.20:40:256;AF-A6NFX1-F1-model_v4_TED02:1.20.1250.20:276:483
A6NFY4,AF-A6NFY4-F1-model_v4_TED01:2.60.120:30:151;AF-A6NFY4-F1-model_v4_TED02:-:156:289
A6NFY7,AF-A6NFY7-F1-model_v4_TED01:-:7:67
A6NFZ4,AF-A6NFZ4-F1-model_v4_TED01:1.20.5:30:55
A6NGA9,AF-A6NGA9-F1-model_v4_TED01:1.20.140.150:44:219
A6NGB0,AF-A6NGB0-F1-model_v4_TED01:1.20.5:76:162;AF-A6NGB0-F1-model_v4_TED02:1.20.5:307:339
A6NGB7,AF-A6NGB7-F1-model_v4_TED01:1.20.120:6:187
A6NGE4,AF-A6NGE4-F1-model_v4_TED01:2.130.10.10:198:450
A6NGE7,AF-A6NGE7-F1-model_v4_TED01:-:4:63;AF-A6NGE7-F1-model_v4_TED02:1.10.3330.10:69:164
A6NGG3,
A6NGG8,AF-A6NGG8-F1-model_v4_TED01:1.10.287:180:325
A6NGH7,AF-A6NGH7-F1-model_v4_TED01:1.20.5:130:312
A6NGH8,AF-A6NGH8-F1-model_v4_TED01:1.25.40.20:26:160;AF-A6NGH8-F1-model_v4_TED02:-:376:418
A6NGN4,AF-A6NGN4-F1-model_v4_TED01:-:13:108;AF-A6NGN4-F1-model_v4_TED02:3.80.10.10:326:478
A6NGQ2,AF-A6NGQ2-F1-model_v4_TED01:3.30.1370.10:38:136
A6NGS2,AF-A6NGS2-F1-model_v4_TED01:-:2:103
A6NGU5,AF-A6NGU5-F1-model_v4_TED01:-:38:449
A6NGU7,
A6NGW2,AF-A6NGW2-F1-model_v4_TED03:-:1030:1139
A6NGY1,AF-A6NGY1-F1-model_v4_TED01:1.20.5:173:203;AF-A6NGY1-F1-model_v4_TED02:1.20.5:204:235
A6NGY3,AF-A6NGY3-F1-model_v4_TED01:1.20.5:77:154
A6NGZ8,AF-A6NGZ8-F1-model_v4_TED01:1.20.5:70:99
A6NH13,
A6NH21,AF-A6NH21-F1-model_v4_TED01:-:57:490
A6NH52,AF-A6NH52-F1-model_v4_TED01:1.20.58:27:194
A6NHG4,AF-A6NHG4-F1-model_v4_TED01:3.30.429.10:2:132
A6NHN6,
A6NHP3,AF-A6NHP3-F1-model_v4_TED01:1.10.472:195:402
A6NHQ2,AF-A6NHQ2-F1-model_v4_TED01:3.30.200.20:100:149;AF-A6NHQ2-F1-model_v4_TED02:3.40.50.150:152:326
A6NHQ4,
A6NHR8,AF-A6NHR8-F1-model_v4_TED01:-:119:167;AF-A6NHR8-F1-model_v4_TED02:-:352:396
A6NHR9,"AF-A6NHR9-F1-model_v4_TED01:3.10.20.90:26:101;AF-A6NHR9-F1-model_v4_TED02:3.30.230:408:573;AF-A6NHR9-F1-model_v4_TED03:2.30.30.490:574:687;AF-A6NHR9-F1-model_v4_TED04:2.60.40.10:691:819;AF-A6NHR9-F1-model_v4_TED05:2.60.40.10:825:923;AF-A6NHR9-F1-model_v4_TED06:2.60.40.1930:932:1032;AF-A6NHR9-F1-model_v4_TED07:2.60.40:1037:1145;AF-A6NHR9-F1-model_v4_TED08:2.60.40.10:1151:1251;AF-A6NHR9-F1-model_v4_TED09:2.60.40.1930:1368:1485;AF-A6NHR9-F1-model_v4_TED10:2.60.40,2.60.40:1491:1616;AF-A6NHR9-F1-model_v4_TED11:-:1634:1962;AF-A6NHR9-F1-model_v4_TED12:3.30.70.1620:1716:1890"
A6NHS1,
A6NHZ5,AF-A6NHZ5-F1-model_v4_TED01:-:2:130
A6NI47,AF-A6NI47-F1-model_v4_TED01:1.25.40.20:129:232;AF-A6NI47-F1-model_v4_TED02:1.25.40.20:299:370
A6NI56,
A6NI61,AF-A6NI61-F1-model_v4_TED01:1.20.1070:1:199
A6NI79,AF-A6NI79-F1-model_v4_TED01:1.20.5:49:137;AF-A6NI79-F1-model_v4_TED02:1.20.5:171:242
A6NI87,AF-A6NI87-F1-model_v4_TED01:-:105:151;AF-A6NI87-F1-model_v4_TED02:1.20.5:155:205
A6NIE6,AF-A6NIE6-F1-model_v4_TED02:-:156:235;AF-A6NIE6-F1-model_v4_TED03:-:263:325;AF-A6NIE6-F1-model_v4_TED01:1.20.930:57:153
A6NIH7,AF-A6NIH7-F1-model_v4_TED01:2.70.50.40:56:245
A6NIK2,
A6NIM6,AF-A6NIM6-F1-model_v4_TED01:1.20.1250.20:27:550
A6NIU2,AF-A6NIU2-F1-model_v4_TED01:1.10.287:2:48
A6NIY4,AF-A6NIY4-F1-model_v4_TED01:1.10.472:194:396
A6NJ64,
A6NJ69,
A6NJ78,AF-A6NJ78-F1-model_v4_TED01:3.40.50.150:74:407;AF-A6NJ78-F1-model_v4_TED02:1.10.150.170:181:294
A6NJB7,
